slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired document-level artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via DQ-IMPL-01 (site:moh.gov.vn trí tuệ nhân tạo y tế),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,CABC30A48251D719AAA690AB7509F45BAEF06DFB4AC2C62F86B044FBFCFF89A5,YES
MINISTRY-02,MINISTRY,RETRIEVED,Acquired document-level artifact from https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/ via DQ-IMPL-05 (site:moh.gov.vn giám sát đánh giá AI y tế),https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,9782B1FDA548F7BB14766DC18CDF0BA23DEA6A83E751EB6ADA197B4DC1938C3A,YES
MINISTRY-03,MINISTRY,RETRIEVED,Acquired document-level artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162 via DQ-IMPL-03 (site:most.gov.vn quản trị đạo đức AI),https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,1A6DCA6DAC42DB1CDEC78FA4ABC6D7D3F61FEC1DECD4BD32FAC11325BD12B03A,YES
MINISTRY-04,MINISTRY,RETRIEVED,Acquired document-level artifact from https://btxh.moh.gov.vn/danh-muc-tin/cong-tac-xa-hoi/danh-gia-tac-dong-luat-cong-tac-xa-hoi_t209c40n1439 via DQ-TOOL-01 (site:moh.gov.vn khung đánh giá tác động AI),https://btxh.moh.gov.vn/danh-muc-tin/cong-tac-xa-hoi/danh-gia-tac-dong-luat-cong-tac-xa-hoi_t209c40n1439,3EFBFEB6B9E0DDF9733D8BD9A331BD9DE0F0B6A3BCAF84CC74865A9FB496D856,YES
INTL-01,INTL,UNRETRIEVABLE,All document locators returned HTTP 403 / bot blocking or no document URL found after 3 retries,NONE,NONE,YES
INTL-02,INTL,UNRETRIEVABLE,All document locators returned HTTP 403 / bot blocking or no document URL found after 3 retries,NONE,NONE,YES
INTL-03,INTL,RETRIEVED,Acquired document-level artifact from https://www.who.int/vietnam/vi/about via DQ-EVID-04 (site:www.who.int/vietnam khung đạo đức AI y tế Việt Nam),https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All document locators returned HTTP 403 / bot blocking or no document URL found after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired document-level artifact from https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122 via DQ-IMPL-01 (site:soyte.danang.gov.vn trí tuệ nhân tạo y tế),https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,7218E1F2FD86F14FB3A141FD6BFBFF991F56C282291E31000FDFEBEB76DE3825,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired document-level artifact from https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx via DQ-IMPL-01 (site:medinet.gov.vn trí tuệ nhân tạo y tế),https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,B2EE65489DC37B333BB7D3EAB45A6D9B965D74463BF4F5F60E221FF4F08DFF38,YES
SENTINEL-04,SENTINEL,RETRIEVED,Acquired document-level artifact from https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba via DQ-IMPL-01 (site:bachmai.gov.vn trí tuệ nhân tạo y tế),https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,159A179A8D9781E38D37F8DDD8224481550A298E3C85D1710134E7D31D6F3D2B,YES
SENTINEL-05,SENTINEL,RETRIEVED,Acquired document-level artifact from https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi via DQ-IMPL-01 (site:vinmec.com trí tuệ nhân tạo y tế),https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,YES
