slot_id,domain,query_id,locator_url,http_status,error_summary,raw_body_file,raw_body_sha256,retried_attempts,terminal_condition
MINISTRY-01,moh.gov.vn,DQ-IMPL-01,site:moh.gov.vn trí tuệ nhân tạo y tế,0,SEARCH_LOCATOR_EXECUTED,raw-artifacts/search-MINISTRY-01-moh.gov.vn-DQ-IMPL-01.body,FB41116469292B154B2D71F0194E7C50979C79987A089C3927EEEBE6585E4810,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-01,moh.gov.vn,DQ-IMPL-01,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,200,OK,raw-artifacts/doc-MINISTRY-01-valid.body,180194EC1A90EF6D262B63012E1FA0C005DECCBD94F51AE91378C987D0DCAD45,3,DOCUMENT_PROBED
MINISTRY-02,moh.gov.vn,DQ-IMPL-05,site:moh.gov.vn giám sát đánh giá AI y tế,0,SEARCH_LOCATOR_EXECUTED,raw-artifacts/search-MINISTRY-02-moh.gov.vn-DQ-IMPL-05.body,DFAC41E03BCE7DEDEF58DCBCE9A13EDE51B298BBFE7FC8083F20239CD7030FA8,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-02,moh.gov.vn,DQ-IMPL-05,https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,200,OK,raw-artifacts/doc-MINISTRY-02-valid.body,A956652F1F2D3E8B30C863485D23D655C60AFFEF87146DCE44F9773D18722D0E,3,DOCUMENT_PROBED
MINISTRY-03,most.gov.vn,DQ-IMPL-03,site:most.gov.vn quản trị đạo đức AI,0,SEARCH_LOCATOR_EXECUTED,raw-artifacts/search-MINISTRY-03-most.gov.vn-DQ-IMPL-03.body,2B143F2B75B783C10086CD7EA0C976B8060BCCB600BAE39A24D30186FABC94DE,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-03,most.gov.vn,DQ-IMPL-03,https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,200,OK,raw-artifacts/doc-MINISTRY-03-valid.body,807F55267C188AF09DE30ADBCD2D3A832F225C9D711F6A4BC8BD0C9012541FEC,3,DOCUMENT_PROBED
MINISTRY-04,moh.gov.vn,DQ-TOOL-01,site:moh.gov.vn khung đánh giá tác động AI,0,SEARCH_LOCATOR_EXECUTED,raw-artifacts/search-MINISTRY-04-moh.gov.vn-DQ-TOOL-01.body,63C7B05FC0BDCDDC78A69639073BDD0E215177B2CD0981694E016D50E78A565E,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-04,moh.gov.vn,DQ-TOOL-02,site:moh.gov.vn tiêu chuẩn kỹ thuật AI y tế,0,SEARCH_LOCATOR_EXECUTED,raw-artifacts/search-MINISTRY-04-moh.gov.vn-DQ-TOOL-02.body,900A4C2582F695A9CB29E29F9757ACE35BCE9130816BA040BF01689B60080E7B,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-04,most.gov.vn,DQ-TOOL-01,site:most.gov.vn khung đánh giá tác động AI,0,SEARCH_LOCATOR_EXECUTED,raw-artifacts/search-MINISTRY-04-most.gov.vn-DQ-TOOL-01.body,BDC7EA8BA937021AAC7735B6A2D6CE8A3A7F3A3768C41B8A62137C570FB22DC5,3,SEARCH_RAW_RESPONSE_CAPTURED
MINISTRY-04,most.gov.vn,DQ-TOOL-02,site:most.gov.vn tiêu chuẩn kỹ thuật AI y tế,0,SEARCH_LOCATOR_EXECUTED,raw-artifacts/search-MINISTRY-04-most.gov.vn-DQ-TOOL-02.body,8B59506BDFA2BF8CE108DE483EDB34F1A8F1B1357A142F6BE48DC2A688F31249,3,SEARCH_RAW_RESPONSE_CAPTURED
