slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via search locator 'site:moh.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,B6612C0E14974D06CDB39F57547DF673CDBAA576F90A91F778B8D861D99D91EA,YES
MINISTRY-02,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/ via search locator 'site:moh.gov.vn giám sát đánh giá AI y tế' (DQ-IMPL-05),https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,BDC3CB8940A341482758E8518EE632B52D53AC4E838179A2BBB60B38D8A0E610,YES
MINISTRY-03,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162 via search locator 'site:most.gov.vn quản trị đạo đức AI' (DQ-IMPL-03),https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,C6B1CFC50642354E293883E82C9FA65A5875CA8A59C0D6C32EA03144BBA8FD74,YES
MINISTRY-04,MINISTRY,RETRIEVED,Acquired unscreened source-level document artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470 via search locator 'site:most.gov.vn khung đánh giá tác động AI' (DQ-TOOL-01),https://tthc.most.gov.vn/index.php/ban_b/article/download/3884/1906/11470,5955C7B705C66542B5703BA872EA3B1C7F09EDDE9A9393B7B233341585075EF6,YES
INTL-01,INTL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs after 3 retries,NONE,NONE,YES
INTL-02,INTL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs after 3 retries,NONE,NONE,YES
INTL-03,INTL,OUT_OF_SCOPE,"Acquired page 'Đã đến lúc phải hành động quyết liệt hơn để làm sạch ...' from https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health is an organizational landing page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health,NONE,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All search locators in locked sequence failed (HTTP 403 / 429 / WAF bot blocking) or yielded 0 document URLs after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://soyte.danang.gov.vn/y-te-thong-minh-chuyen-doi-so via search locator 'site:soyte.danang.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://soyte.danang.gov.vn/y-te-thong-minh-chuyen-doi-so,6F5CC1C6B9D2EEA08144F0C775008DD53A6C05E1DBB0215B117C7D8D60524CF0,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://medinet.gov.vn/chuyen-muc/so-y-te-tphcm-to-chuc-khoa-dao-tao-ung-dung-tri-tue-nhan-tao-ai-co-ban-cmobile4675-73233.aspx via search locator 'site:medinet.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://medinet.gov.vn/chuyen-muc/so-y-te-tphcm-to-chuc-khoa-dao-tao-ung-dung-tri-tue-nhan-tao-ai-co-ban-cmobile4675-73233.aspx,9031B53DE9D84E65E2FD55BEEB7BCC3DD482489EDA87B4EDBABB1C5BD4C2AE02,YES
SENTINEL-04,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba via search locator 'site:bachmai.gov.vn trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,B437495DD0B010C5EB0F8C2D1A53D8AC2403944ABFB28BF39BB5DD6AE2DD2A59,YES
SENTINEL-05,SENTINEL,RETRIEVED,Acquired unscreened source-level document artifact from https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi via search locator 'site:vinmec.com trí tuệ nhân tạo y tế' (DQ-IMPL-01),https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,YES
