raw_record_id,source_channel,title,doi,publication_year,authors,deduplication_status,merged_into_record_id,deduplication_reason
RAW_0001,Direct_Harvest,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,https://doi.org/10.2196/32392,2022,"['Duc Minh Tran', 'Louise Thwaites', 'Jennifer Ilo Van Nuil', 'Jacob McKnight', 'An Phuoc Luu', 'Chris Paton']",UNIQUE,REC_DIR_0001,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0002,Direct_Harvest,Artificial Intelligence vs. Natural Stupidity: Evaluating AI Readiness for the Vietnamese Medical Information System,https://doi.org/10.3390/jcm8020168,2019,"['Quan‐Hoang Vuong', 'Tung Manh Ho', 'Thu‐Trang Vuong', 'Viet‐Phuong La', 'Manh‐Toan Ho', 'Kien-Cuong P. Nghiem', 'Bach Xuan Tran', 'Hai-Ha Giang', 'Thu-Vu Giang', 'Carl A. Latkin', 'Hong‐Kong T. Nguyen', 'Cyrus S. H. Ho', 'Roger Ho']",UNIQUE,REC_DIR_0002,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0003,Direct_Harvest,Fine-tuning large language models for improved health communication in low-resource languages,https://doi.org/10.1016/j.cmpb.2025.108655,2025,"['Nhat Bui', 'Giang T. Nguyen', 'Nguyen Nguyen', 'Vo Nguyen Quoc Bao', 'Luan Nguyen Quang Vo', 'Tom Huynh', 'Arthur Tang', 'Van Nhiem Tran', 'Tuyen Huynh', 'Huy Q. Nguyen', 'Minh Dinh']",UNIQUE,REC_DIR_0003,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0004,Direct_Harvest,"Applying artificial intelligence and digital health technologies, Viet Nam",https://doi.org/10.2471/blt.22.289423,2023,"['Ho Quang Chanh', 'Damien Ming', 'Quang Huy Nguyen', 'Duc Minh Tran', 'An Phuoc Luu', 'Huynh Trung Trieu', 'Stefan Karolcik', 'Bernard Hernandez Perez', 'Jennifer Ilo Van Nuil', 'Ngan Nguyen Lyle', 'Evelyne Kestelyn', 'Louise Thwaites', 'Pantelis Georgiou', 'Chris Paton', 'Alison Holmes', 'Nguyễn Văn Vĩnh Châu', 'Sophie Yacoub']",UNIQUE,REC_DIR_0004,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0005,Direct_Harvest,Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability,https://doi.org/10.1038/s41598-024-64210-5,2024,"['Jenny Yang', 'Lei Clifton', 'Nguyen Thanh Dung', 'Nguyễn Thanh Phong', 'Lam Minh Yen', 'Doan Bui Xuan Thy', 'Andrew A. S. Soltan', 'Louise Thwaites', 'David A. Clifton']",UNIQUE,REC_DIR_0005,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0006,Direct_Harvest,Applied machine learning for the risk-stratification and clinical decision support of hospitalised patients with dengue in Vietnam,https://doi.org/10.1371/journal.pdig.0000005,2022,"['Damien Ming', 'Bernard Hernandez', 'Sorawat Sangkaew', 'Nguyen Lam Vuong', 'Phung Khanh Lam', 'Nguyet Minh Nguyen', 'Dong Thi Hoai Tam', 'Dinh The Trung', 'Nguyen Le Bao Tien', 'Tuan M. Nguyen', 'Nguyễn Văn Vĩnh Châu', 'Cao Thi Tam', 'Ho Quang Chanh', 'Huynh Trung Trieu', 'Cameron P. Simmons', 'Bridget Wills', 'Pantelis Georgiou', 'Alison Holmes', 'Sophie Yacoub']",UNIQUE,REC_DIR_0006,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0007,Direct_Harvest,"Multi-output machine learning model for regional air pollution forecasting in Ho Chi Minh City, Vietnam",https://doi.org/10.1016/j.envint.2023.107848,2023,"['Rajnish Rakholia', 'Quan Le', 'Bang Quoc Ho', 'Hoang Ngoc Khue Vu', 'Ricardo Simón Carbajo']",UNIQUE,REC_DIR_0007,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0008,Direct_Harvest,Applied Hedge Algebra Approach with Multilingual Large Language Models to Extract Hidden Rules in Datasets for Improvement of Generative AI Applications,https://doi.org/10.3390/info15070381,2024,"['Hai Van Pham', 'Philip Moore']",UNIQUE,REC_DIR_0008,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0009,Direct_Harvest,Flood risk mapping and analysis using an integrated framework of machine learning models and analytic hierarchy process,https://doi.org/10.1111/risa.14018,2022,"['Quynh Duy Bui', 'Chinh Luu', 'Sy Hung', 'Hang Thi Ha', 'Huong Thu Ta', 'Binh Thai Pham']",UNIQUE,REC_DIR_0009,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0010,Direct_Harvest,Vital sign monitoring using wearable devices in a Vietnamese intensive care unit,https://doi.org/10.1136/bmjinnov-2021-000707,2021,"['Hoang Minh Tu Van', 'Nguyễn Văn Hảo', 'Phan Nguyen Quoc Khanh', 'Ho Bich Hai', 'Le Dinh Van Khoa', 'Lam Minh Yen', 'Phung Tran Huy Nhat', 'Ha Thi Hai Duong', 'Duong Bich Thuy', 'Tingting Zhu', 'Heloise Greeff', 'David A. Clifton', 'Louise Thwaites']",UNIQUE,REC_DIR_0010,UNIQUE_RECORD_PASSED_TO_SCREENING
