portal,query_id,locked_query_or_graph_target,page,requested_url,method,retrieval_utc,http_status,transport,api_error,reported_total,returned_count,raw_file,bytes,sha256,headers_file,headers_bytes,headers_sha256,run_status,stopping_rule_assessment
GOV-VB,DQ-LAW-01,"""134/2025/QH15""",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22134%2F2025%2FQH15%22,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q01-p01.html,71282,053af5cb28e0fa583b3efebdad85e81e97b10761b204ea05ab82aea7f31cd654,raw/gov-vb-q01-p01.headers.json,380,f97662b46e4ef9b8c6288e46dc5f52adce045e934ba8257561ca99d70093a189,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-LAW-02,"""Luật Trí tuệ nhân tạo"" AND (y tế OR ""người bệnh"" OR bệnh viện)",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22Lu%E1%BA%ADt+Tr%C3%AD+tu%E1%BB%87+nh%C3%A2n+t%E1%BA%A1o%22+AND+%28y+t%E1%BA%BF+OR+%22ng%C6%B0%E1%BB%9Di+b%E1%BB%87nh%22+OR+b%E1%BB%87nh+vi%E1%BB%87n%29,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q02-p01.html,71716,20321f901a1077d793f4e4c81397fd964b27e83119d7b304f0fbc3858314e06b,raw/gov-vb-q02-p01.headers.json,446,fb1cc9bdda085f136c7dc1c47a8de359a6a065d6c75c9678003742da64c0105b,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-DEC-01,"""142/2026/NĐ-CP""",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22142%2F2026%2FN%C4%90-CP%22,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q03-p01.html,71294,c338b3a8326cd72d9d91d52a3af31f2a7102d9f77e22d1dba069c26a574ddf8d,raw/gov-vb-q03-p01.headers.json,446,159c84a0ce28501526b9c1e4d1cee89d25c50ae92195aa867083ef2f382b3911,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-FRAME-01,"""05/2026/TT-BKHCN""",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%2205%2F2026%2FTT-BKHCN%22,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q04-p01.html,71288,35b1768f19d58ebe3d92722eb579796715e8f49a5b9bc028cc35ef06bc287b51,raw/gov-vb-q04-p01.headers.json,446,f08707d028f0a1cfafbdd107afa3c11a725c76a94921fe640c46f1cf3d4b16d1,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-FRAME-02,"""Khung đạo đức trí tuệ nhân tạo quốc gia"" AND (y tế OR bệnh viện OR ""khám chữa bệnh"")",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22Khung+%C4%91%E1%BA%A1o+%C4%91%E1%BB%A9c+tr%C3%AD+tu%E1%BB%87+nh%C3%A2n+t%E1%BA%A1o+qu%E1%BB%91c+gia%22+AND+%28y+t%E1%BA%BF+OR+b%E1%BB%87nh+vi%E1%BB%87n+OR+%22kh%C3%A1m+ch%E1%BB%AFa+b%E1%BB%87nh%22%29,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q05-p01.html,71876,16a8a34da4b025eda60cf8c5c4f7fa513f25f3cf9624f6b5b47d41a84c4a2d2e,raw/gov-vb-q05-p01.headers.json,466,9cf768d7b056aaeb8d8df98afefc9a14433c03236af8dc5f9aed940413aeff96,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-REL-01,"(""134/2025/QH15"" OR ""142/2026/NĐ-CP"" OR ""05/2026/TT-BKHCN"") AND (sửa đổi OR thay thế OR hướng dẫn OR triển khai)",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%28%22134%2F2025%2FQH15%22+OR+%22142%2F2026%2FN%C4%90-CP%22+OR+%2205%2F2026%2FTT-BKHCN%22%29+AND+%28s%E1%BB%ADa+%C4%91%E1%BB%95i+OR+thay+th%E1%BA%BF+OR+h%C6%B0%E1%BB%9Bng+d%E1%BA%ABn+OR+tri%E1%BB%83n+khai%29,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q06-p01.html,71886,37b73b2b9253d626c2e10b197ed3b162e7a428fdf89f194e65565ebfa5ca6ba6,raw/gov-vb-q06-p01.headers.json,446,19d6c65f24fd4f8befc2c9c3000d43977b0ba8f98b26722342f7517ae26883f8,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-COUNCIL-NAME-01,"""Hội đồng đạo đức AI quốc gia""",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22H%E1%BB%99i+%C4%91%E1%BB%93ng+%C4%91%E1%BA%A1o+%C4%91%E1%BB%A9c+AI+qu%E1%BB%91c+gia%22,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q07-p01.html,71502,046dc515724df2116e5564f87551be7b34f4ac680c4e38ba0635731937a33a89,raw/gov-vb-q07-p01.headers.json,446,c326fead9bca04d8710c6dcaf3c54214e2114b5fad0682bfa7c75f56e77dbe3e,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-COUNCIL-NAME-02,"""Hội đồng đạo đức trí tuệ nhân tạo quốc gia""",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22H%E1%BB%99i+%C4%91%E1%BB%93ng+%C4%91%E1%BA%A1o+%C4%91%E1%BB%A9c+tr%C3%AD+tu%E1%BB%87+nh%C3%A2n+t%E1%BA%A1o+qu%E1%BB%91c+gia%22,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q08-p01.html,71646,3fd0ed1211770b82f2f56673beb80ce9b2ff8c63109399ade5f702c66e06e3ed,raw/gov-vb-q08-p01.headers.json,446,a425f03c74ef00f1278750680ca9bcc7d1e73276b2763b3da238acea1ccb59db,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-COUNCIL-NAME-03,"""Ủy ban đạo đức AI quốc gia""",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22%E1%BB%A6y+ban+%C4%91%E1%BA%A1o+%C4%91%E1%BB%A9c+AI+qu%E1%BB%91c+gia%22,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q09-p01.html,71448,380cff419c761f1676bc583efefd4d647c7ab397d3b58affe9d688c49c540796,raw/gov-vb-q09-p01.headers.json,380,3ba425c7ce4f9f198da95fc903c92caec1e0cd8e43110bf45e8e0ee3b5f69a1a,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
GOV-VB,DQ-COUNCIL-NAME-04,"""National AI Ethics Council"" Vietnam",1,https://vanban.chinhphu.vn/?pageid=27160&tukhoa=%22National+AI+Ethics+Council%22+Vietnam,GET,2026-08-01T02:52:41.178909+00:00,200,OK,,,,raw/gov-vb-q10-p01.html,71340,41ea84d7a3ea85ea62ecf01bcad0d1430cb06f75c1ddb8c4413816aaea15d364,raw/gov-vb-q10-p01.headers.json,380,89606ed1123b8070d958f4efd78b7f388400324b4656c57d2625b9d6d391675c,RAW_PAGE_CAPTURED,RAW_PORTAL_PAGE_CAPTURED; UNSCREENED
