candidate_id,match_basis,match_value,member_manifestation_ids,member_sources,recommendation,rationale
DUP-C00001,EXACT_TITLE_YEAR,"Knowledge, Attitudes, and Practices Related to AI in Learning and Research Among",OPENALEX:W7167283633 | PMID:42397674,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00002,EXACT_TITLE_YEAR,Validation of online clearance monitoring and machine learning-based prediction ,OPENALEX:W7165659512 | PMID:42337499,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00003,EXACT_TITLE_YEAR,Machine learning-based model for prediction of carbamazepine- and allopurinol-in,OPENALEX:W7163188207 | PMID:42292762,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00004,EXACT_TITLE_YEAR,Assessment of Artificial Intelligence-based Translation Tools for Emergency Depa,OPENALEX:W7151807628 | PMID:42258871,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00005,EXACT_TITLE_YEAR,Integrating google trends and hybrid statistical-machine learning models for den,OPENALEX:W7163924730 | PMID:42258012,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00006,EXACT_TITLE_YEAR,Prediction of Early Functional Outcome After Acute Ischemic Stroke Using Real-Wo,OPENALEX:W7162023752 | PMID:42174817,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00007,EXACT_TITLE_YEAR,Development and Validation of Machine Learning Models for Predicting Low Birth W,OPENALEX:W7154305743 | PMID:42147526,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00008,EXACT_TITLE_YEAR,Comparing Large Language Models and Traditional Machine Translation Tools for Tr,OPENALEX:W7129043197 | PMID:41973653,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00009,EXACT_TITLE_YEAR,Artificial intelligence-assisted screening reveals high prevalence of osteoporos,OPENALEX:W7128002164 | PMID:41969604,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00010,EXACT_TITLE_YEAR,Early individualized risk prediction using clinical data for children during the,OPENALEX:W7128429800 | PMID:41662365,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00011,EXACT_TITLE_YEAR,What Substitution and Prediction Strategies Address the Challenge of an Unmeasur,OPENALEX:W7125791067 | PMID:41591267,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00012,EXACT_TITLE_YEAR,Machine Learning-Assisted Autism Risk Stratification in Toddlers Using the Vietn,OPENALEX:W7125482525 | PMID:41575711,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
