canonical_record_id,primary_manifestation_id,title,year,source_channels,doi,pmid,openalex_id,official_document_number,member_manifestation_count,member_manifestation_ids,duplicate_status,duplicate_basis,preferred_version_reason,screening_status,provenance_status
CANON-00001,LEGAL:05/2026/TT-BKHCN,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,2026,LEGAL_OFFICIAL_PORTAL,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,05/2026/TT-BKHCN,1,LEGAL:05/2026/TT-BKHCN,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00002,PR07:MANIF-MINISTRY-01,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,2026,PR07_PUBLIC_SOURCE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1,PR07:MANIF-MINISTRY-01,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00003,PR07:MANIF-SENTINEL-02,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",2026,PR07_PUBLIC_SOURCE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1,PR07:MANIF-SENTINEL-02,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00004,LEGAL:134/2025/QH15,Luật Trí tuệ nhân tạo,2025,LEGAL_OFFICIAL_PORTAL,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,134/2025/QH15,1,LEGAL:134/2025/QH15,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00005,LEGAL:55/2025/NĐ-CP,Nghị định 55/2025/NĐ-CP quy định chi tiết về quản lý và vận hành hệ thống thông tin y tế số,2025,LEGAL_OFFICIAL_PORTAL,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,55/2025/NĐ-CP,1,LEGAL:55/2025/NĐ-CP,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00006,LEGAL:142/2026/NĐ-CP,Quy định chi tiết một số điều và biện pháp thi hành Luật Trí tuệ nhân tạo,2026,LEGAL_OFFICIAL_PORTAL,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,142/2026/NĐ-CP,1,LEGAL:142/2026/NĐ-CP,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00007,PR07:MANIF-SENTINEL-03,Tìm hiểu ứng dụng trí tuệ nhân tạo trong y tế,2026,PR07_PUBLIC_SOURCE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1,PR07:MANIF-SENTINEL-03,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00008,PR07:MANIF-MINISTRY-02,Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số,2026,PR07_PUBLIC_SOURCE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1,PR07:MANIF-MINISTRY-02,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00009,PR07:MANIF-SENTINEL-05,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,2026,PR07_PUBLIC_SOURCE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1,PR07:MANIF-SENTINEL-05,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00010,PR07:MANIF-SENTINEL-04,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,2026,PR07_PUBLIC_SOURCE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1,PR07:MANIF-SENTINEL-04,UNIQUE,NOT_APPLICABLE,Official legal/authority document priority.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
