manifestation_id,source_channel,source_record_id,title,year,doi,pmid,openalex_id,normalized_url,raw_artifact_locator,raw_artifact_checksum,retrieval_run_id,query_locator,provenance_status
LEGAL:05/2026/TT-BKHCN,LEGAL_OFFICIAL_PORTAL,05/2026/TT-BKHCN,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,2026,,,,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,official-sources/legal-seed-retrieval-20260801T135648/raw/s03.signed.pdf,45616232b7023fef199cce2d52d5896d1db59b990a74fd40648b262d11490220,legal-seed-retrieval-20260801T135648,DQ-LEGAL-SEED-03,VERIFIED_RAW_MANIFEST
LEGAL:134/2025/QH15,LEGAL_OFFICIAL_PORTAL,134/2025/QH15,Luật Trí tuệ nhân tạo,2025,,,,https://vanban.chinhphu.vn/?classid=1&docid=216334&pageid=27160&typegroupid=3,official-sources/legal-seed-retrieval-20260801T135648/raw/s01.signed.pdf,53be2f9993e5060cc0ce723fc506d6535c9358978dbbeff11324c8d6236cae69,legal-seed-retrieval-20260801T135648,DQ-LEGAL-SEED-01,VERIFIED_RAW_MANIFEST
LEGAL:142/2026/NĐ-CP,LEGAL_OFFICIAL_PORTAL,142/2026/NĐ-CP,Quy định chi tiết một số điều và biện pháp thi hành Luật Trí tuệ nhân tạo,2026,,,,https://vanban.chinhphu.vn/?docid=218029&orggroupid=2&pageid=27160,official-sources/legal-seed-retrieval-20260801T135648/raw/s02.signed.pdf,988fa7091b9f70615b8ae984e7e43b15293eb31398a113c86cc34f26666d5e40,legal-seed-retrieval-20260801T135648,DQ-LEGAL-SEED-02,VERIFIED_RAW_MANIFEST
LEGAL:55/2025/NĐ-CP,LEGAL_OFFICIAL_PORTAL,55/2025/NĐ-CP,Nghị định 55/2025/NĐ-CP quy định chi tiết về quản lý và vận hành hệ thống thông tin y tế số,2025,,,,https://vanban.chinhphu.vn/?pageid=27160&docid=213020,official-sources/legal-relation-traversal-20260801T135720/raw/resolve-04.fulltext.pdf,96558197392fc88f1d5f3b398cc294a113f976b34df034856eace3c385bff03b,legal-relation-traversal-20260801T135720,DQ-LEGAL-REL-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2911578273,OPENALEX,W2911578273,Artificial Intelligence vs. Natural Stupidity: Evaluating AI Readiness for the Vietnamese Medical Information System,2019,10.3390/jcm8020168,30717268,W2911578273,https://doi.org/10.3390/jcm8020168,openalex/openalex-api-20260731T204525+0700/page-001.raw,cc63bed157c8017baca9e3cf49611c2f7d5c2737b6915173aaf2ac7c966fbdba,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2917979868,OPENALEX,W2917979868,A novel machine-learning-based infection screening system via 2013–2017 seasonal influenza patients' vital signs as training datasets,2019,10.1016/j.jinf.2019.02.008,30797793,W2917979868,https://doi.org/10.1016/j.jinf.2019.02.008,openalex/openalex-api-20260731T204525+0700/page-003.raw,2ef15a7a70da1e0c1ba3a24c3396aa1a038516be2024a3f08936666427ce4457,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2943496630,OPENALEX,W2943496630,Data as a Substitute for Judgment,2019,10.1097/opx.0000000000001391,31046013,W2943496630,https://doi.org/10.1097/opx.0000000000001391,openalex/openalex-api-20260731T204525+0700/page-012.raw,af3ef30cc2217b5ba58dac8570cde2ed08fb515afd513bc5bab42ae127e8c0f5,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2956118262,OPENALEX,W2956118262,Cross-serotype interactions and disease outcome prediction of dengue infections in Vietnam,2019,10.1038/s41598-019-45816-6,31253823,W2956118262,https://doi.org/10.1038/s41598-019-45816-6,openalex/openalex-api-20260731T204525+0700/page-001.raw,cc63bed157c8017baca9e3cf49611c2f7d5c2737b6915173aaf2ac7c966fbdba,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2979564905,OPENALEX,W2979564905,PROTOCOL: Megamap of systematic reviews and evidence and gap maps on the effectiveness of interventions to improve child well‐being in low‐ and middle‐income countries,2019,10.1002/cl2.1057,37016600,W2979564905,https://doi.org/10.1002/cl2.1057,openalex/openalex-api-20260731T204525+0700/page-008.raw,3a2168dca2cf70e3bea241429f2263fc3ad7b52cb24c11719ee3baeda6f337e9,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2981063136,OPENALEX,W2981063136,Understanding and predicting ciprofloxacin minimum inhibitory concentration in <i>Escherichia coli</i> with machine learning,2019,10.1101/806760,,W2981063136,https://doi.org/10.1101/806760,openalex/openalex-api-20260731T204525+0700/page-003.raw,2ef15a7a70da1e0c1ba3a24c3396aa1a038516be2024a3f08936666427ce4457,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2987436579,OPENALEX,W2987436579,Parent’s Perception and Willingness for Using Internet Based Mental Health Application for Children,2019,10.25073/2588-1159/vnuer.4325,,W2987436579,https://doi.org/10.25073/2588-1159/vnuer.4325,openalex/openalex-api-20260731T204525+0700/page-010.raw,567d223c6daff1b7c3515e6c3c45bad21909518ff1d22f77271a97076d3ba2eb,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2988568828,OPENALEX,W2988568828,"With Changing Insights, Military Psychiatry Evolved Over Time",2019,10.1176/appi.pn.2019.5a27,,W2988568828,https://doi.org/10.1176/appi.pn.2019.5a27,openalex/openalex-api-20260731T204525+0700/page-013.raw,1e79e9ecb8063e55faa657fa937037c99544712e501b32e59db78d1fdbd1c007,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W2996312388,OPENALEX,W2996312388,Severity detection tool for patients with infectious disease,2020,10.1049/htl.2019.0030,32431851,W2996312388,https://doi.org/10.1049/htl.2019.0030,openalex/openalex-api-20260731T204525+0700/page-009.raw,d8052c422dfee1bcc043965b6c8f38ad8e3b0206af91d662e111aa0e69b78848,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W3004288447,OPENALEX,W3004288447,The United Nations Sustainable Development Goals,2020,10.1093/biosci/biz155,,W3004288447,https://doi.org/10.1093/biosci/biz155,openalex/openalex-api-20260731T204525+0700/page-004.raw,135103e4498bc4d83cdec049b5b6ef4cc4f66250f5729b623abee25886418a16,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W3016560194,OPENALEX,W3016560194,Sex and Gender Disparities in the COVID-19 Pandemic,2020,10.1089/jwh.2020.8472,32320331,W3016560194,https://doi.org/10.1089/jwh.2020.8472,openalex/openalex-api-20260731T204525+0700/page-002.raw,a91f6c605ced04dfacef7bf6474726dbd67a67f11cd34608c4294b609b0cfbc7,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W3018428085,OPENALEX,W3018428085,Protecting the gains of malaria elimination in China,2020,10.1186/s40249-020-00661-y,32326979,W3018428085,https://doi.org/10.1186/s40249-020-00661-y,openalex/openalex-api-20260731T204525+0700/page-005.raw,b1307c741cb653ca8122f1ae281aaf5935a342a4df7ea19b9676a23a68cb3764,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W3041831661,OPENALEX,W3041831661,Progress Towards Developing a Rapid Triage/Referral Test for Tuberculosis,2020,10.1093/clinchem/hvaa124,32642751,W3041831661,https://doi.org/10.1093/clinchem/hvaa124,openalex/openalex-api-20260731T204525+0700/page-011.raw,027e305e0bb0f739e118626245e1f599cd7447df911aae82e49a72d8be3623cc,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W3091082229,OPENALEX,W3091082229,Toward Audio Beehive Monitoring Based on IoT-AI techniques: A Survey and Perspective,2020,10.31817/vjas.2020.3.1.06,,W3091082229,https://doi.org/10.31817/vjas.2020.3.1.06,openalex/openalex-api-20260731T204525+0700/page-004.raw,135103e4498bc4d83cdec049b5b6ef4cc4f66250f5729b623abee25886418a16,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
OPENALEX:W3094688352,OPENALEX,W3094688352,Pushing Back Against Ageism,2020,10.1016/j.carage.2020.10.023,,W3094688352,https://doi.org/10.1016/j.carage.2020.10.023,openalex/openalex-api-20260731T204525+0700/page-012.raw,af3ef30cc2217b5ba58dac8570cde2ed08fb515afd513bc5bab42ae127e8c0f5,openalex-api-20260731T204525+0700,DQ-OPENALEX-01,VERIFIED_RAW_MANIFEST
