registry_event_id,row_type,record_id,canonical_record_id,document_id,framework_id,title,year,language,doi,pmid,openalex_id,official_document_number,normalized_url,manifestation_type,provenance_event_id,discovery_channel,query_id,seed_record_id,citation_direction,discovery_date,raw_artifact_locator,raw_artifact_checksum,duplicate_status,duplicate_basis,preferred_version,preferred_version_reason,reviewer,screening_stage,reviewer_decision,exclusion_reason,decision_date,final_adjudication,adjudicator,adjudication_date,screening_codebook_version,registry_version,supersedes_event_id,change_type,change_reason,notes
REG-E000001,MANIFESTATION,LEGAL:05/2026/TT-BKHCN,CANON-00001,DOC-00001,NOT_APPLICABLE,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,05/2026/TT-BKHCN,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,PDF,NOT_APPLICABLE,LEGAL_OFFICIAL_PORTAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,official-sources/legal-seed-retrieval-20260801T135648/raw/s03.signed.pdf,45616232b7023fef199cce2d52d5896d1db59b990a74fd40648b262d11490220,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,CREATE,Verified raw manifestation loaded without canonicalization.,VERIFIED_RAW_MANIFEST
REG-E000002,PROVENANCE,LEGAL:05/2026/TT-BKHCN,CANON-00001,DOC-00001,NOT_APPLICABLE,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,05/2026/TT-BKHCN,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,PDF,PROV-LEGAL:05/2026/TT-BKHCN,LEGAL_OFFICIAL_PORTAL,DQ-LEGAL-SEED-03,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,official-sources/legal-seed-retrieval-20260801T135648/raw/s03.signed.pdf,45616232b7023fef199cce2d52d5896d1db59b990a74fd40648b262d11490220,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,ADD_PROVENANCE,Raw artifact checksum independently verified.,retrieval_run_id=legal-seed-retrieval-20260801T135648
REG-E000003,CANONICALIZATION,LEGAL:05/2026/TT-BKHCN,CANON-00001,DOC-00001,NOT_APPLICABLE,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,05/2026/TT-BKHCN,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,PDF,NOT_APPLICABLE,LEGAL_OFFICIAL_PORTAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,official-sources/legal-seed-retrieval-20260801T135648/raw/s03.signed.pdf,45616232b7023fef199cce2d52d5896d1db59b990a74fd40648b262d11490220,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,CANONICALIZE,Canonicalized under cluster CANON-00001 with match basis NOT_APPLICABLE.,primary_manifestation_id=LEGAL:05/2026/TT-BKHCN
REG-E000004,MANIFESTATION,PR07:MANIF-MINISTRY-01,CANON-00002,DOC-00002,NOT_APPLICABLE,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,HTML,NOT_APPLICABLE,PR07_PUBLIC_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,../pr07-12slot-provenance-compliance-run-20260801T230707/raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-01-pos3.body,d69fdc367abf482e569fc7ab4a234c8468ffd2e3e8f8a0c5efabf319d69967bf,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,CREATE,Verified raw manifestation loaded without canonicalization.,VERIFIED_RAW_MANIFEST
REG-E000005,PROVENANCE,PR07:MANIF-MINISTRY-01,CANON-00002,DOC-00002,NOT_APPLICABLE,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,HTML,PROV-PR07:MANIF-MINISTRY-01,PR07_PUBLIC_SOURCE,DQ-PR07-MINISTRY-01,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,../pr07-12slot-provenance-compliance-run-20260801T230707/raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-01-pos3.body,d69fdc367abf482e569fc7ab4a234c8468ffd2e3e8f8a0c5efabf319d69967bf,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,ADD_PROVENANCE,Raw artifact checksum independently verified.,retrieval_run_id=pr07-12slot-provenance-compliance-run-20260801T230707
REG-E000006,CANONICALIZATION,PR07:MANIF-MINISTRY-01,CANON-00002,DOC-00002,NOT_APPLICABLE,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,HTML,NOT_APPLICABLE,PR07_PUBLIC_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,../pr07-12slot-provenance-compliance-run-20260801T230707/raw-artifacts/doc-MINISTRY-01-moh.gov.vn-DQ-IMPL-01-pos3.body,d69fdc367abf482e569fc7ab4a234c8468ffd2e3e8f8a0c5efabf319d69967bf,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,CANONICALIZE,Canonicalized under cluster CANON-00002 with match basis NOT_APPLICABLE.,primary_manifestation_id=PR07:MANIF-MINISTRY-01
REG-E000007,MANIFESTATION,PR07:MANIF-SENTINEL-02,CANON-00003,DOC-00003,NOT_APPLICABLE,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,HTML,NOT_APPLICABLE,PR07_PUBLIC_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,../pr07-12slot-provenance-compliance-run-20260801T230707/raw-artifacts/doc-SENTINEL-02-soyte.danang.gov.vn-DQ-IMPL-01-pos1.body,f039afe65ef625baf16e04f013473e2c40374643dc9a31f25e45add481e91797,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,CREATE,Verified raw manifestation loaded without canonicalization.,VERIFIED_RAW_MANIFEST
REG-E000008,PROVENANCE,PR07:MANIF-SENTINEL-02,CANON-00003,DOC-00003,NOT_APPLICABLE,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,HTML,PROV-PR07:MANIF-SENTINEL-02,PR07_PUBLIC_SOURCE,DQ-PR07-SENTINEL-02,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,../pr07-12slot-provenance-compliance-run-20260801T230707/raw-artifacts/doc-SENTINEL-02-soyte.danang.gov.vn-DQ-IMPL-01-pos1.body,f039afe65ef625baf16e04f013473e2c40374643dc9a31f25e45add481e91797,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,ADD_PROVENANCE,Raw artifact checksum independently verified.,retrieval_run_id=pr07-12slot-provenance-compliance-run-20260801T230707
REG-E000009,CANONICALIZATION,PR07:MANIF-SENTINEL-02,CANON-00003,DOC-00003,NOT_APPLICABLE,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",2026,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,HTML,NOT_APPLICABLE,PR07_PUBLIC_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,../pr07-12slot-provenance-compliance-run-20260801T230707/raw-artifacts/doc-SENTINEL-02-soyte.danang.gov.vn-DQ-IMPL-01-pos1.body,f039afe65ef625baf16e04f013473e2c40374643dc9a31f25e45add481e91797,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,CANONICALIZE,Canonicalized under cluster CANON-00003 with match basis NOT_APPLICABLE.,primary_manifestation_id=PR07:MANIF-SENTINEL-02
REG-E000010,MANIFESTATION,LEGAL:134/2025/QH15,CANON-00004,DOC-00004,NOT_APPLICABLE,Luật Trí tuệ nhân tạo,2025,VI,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,134/2025/QH15,https://vanban.chinhphu.vn/?classid=1&docid=216334&pageid=27160&typegroupid=3,PDF,NOT_APPLICABLE,LEGAL_OFFICIAL_PORTAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-01,official-sources/legal-seed-retrieval-20260801T135648/raw/s01.signed.pdf,53be2f9993e5060cc0ce723fc506d6535c9358978dbbeff11324c8d6236cae69,UNIQUE,NOT_APPLICABLE,YES,Selected as canonical representative based on channel authority and identifier completeness.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.1-draft,,CREATE,Verified raw manifestation loaded without canonicalization.,VERIFIED_RAW_MANIFEST
