record_id,title,authors,year,doi,journal_name,study_design,ai_technology_type,clinical_domain,vietnam_province_region,ethical_principles_addressed,governance_framework_mentioned,data_privacy_security,human_in_the_loop,transparency_explainability,bias_fairness,accountability_responsibility,informed_consent,regulatory_compliance,stakeholder_engagement,sample_size,data_source,implementation_barrier,key_finding,extraction_status,extraction_confidence,extracted_by,extraction_date,notes,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48
REC_DIR_0001,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,"['Duc Minh Tran', 'Louise Thwaites', 'Jennifer Ilo Van Nuil', 'Jacob McKnight', 'An Phuoc Luu', 'Chris Paton']",2022,https://doi.org/10.2196/32392,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0002,Artificial Intelligence vs. Natural Stupidity: Evaluating AI Readiness for the Vietnamese Medical Information System,"['Quan‐Hoang Vuong', 'Tung Manh Ho', 'Thu‐Trang Vuong', 'Viet‐Phuong La', 'Manh‐Toan Ho', 'Kien-Cuong P. Nghiem', 'Bach Xuan Tran', 'Hai-Ha Giang', 'Thu-Vu Giang', 'Carl A. Latkin', 'Hong‐Kong T. Nguyen', 'Cyrus S. H. Ho', 'Roger Ho']",2019,https://doi.org/10.3390/jcm8020168,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0003,Fine-tuning large language models for improved health communication in low-resource languages,"['Nhat Bui', 'Giang T. Nguyen', 'Nguyen Nguyen', 'Vo Nguyen Quoc Bao', 'Luan Nguyen Quang Vo', 'Tom Huynh', 'Arthur Tang', 'Van Nhiem Tran', 'Tuyen Huynh', 'Huy Q. Nguyen', 'Minh Dinh']",2025,https://doi.org/10.1016/j.cmpb.2025.108655,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0004,"Applying artificial intelligence and digital health technologies, Viet Nam","['Ho Quang Chanh', 'Damien Ming', 'Quang Huy Nguyen', 'Duc Minh Tran', 'An Phuoc Luu', 'Huynh Trung Trieu', 'Stefan Karolcik', 'Bernard Hernandez Perez', 'Jennifer Ilo Van Nuil', 'Ngan Nguyen Lyle', 'Evelyne Kestelyn', 'Louise Thwaites', 'Pantelis Georgiou', 'Chris Paton', 'Alison Holmes', 'Nguyễn Văn Vĩnh Châu', 'Sophie Yacoub']",2023,https://doi.org/10.2471/blt.22.289423,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0005,Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability,"['Jenny Yang', 'Lei Clifton', 'Nguyen Thanh Dung', 'Nguyễn Thanh Phong', 'Lam Minh Yen', 'Doan Bui Xuan Thy', 'Andrew A. S. Soltan', 'Louise Thwaites', 'David A. Clifton']",2024,https://doi.org/10.1038/s41598-024-64210-5,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0006,Applied machine learning for the risk-stratification and clinical decision support of hospitalised patients with dengue in Vietnam,"['Damien Ming', 'Bernard Hernandez', 'Sorawat Sangkaew', 'Nguyen Lam Vuong', 'Phung Khanh Lam', 'Nguyet Minh Nguyen', 'Dong Thi Hoai Tam', 'Dinh The Trung', 'Nguyen Le Bao Tien', 'Tuan M. Nguyen', 'Nguyễn Văn Vĩnh Châu', 'Cao Thi Tam', 'Ho Quang Chanh', 'Huynh Trung Trieu', 'Cameron P. Simmons', 'Bridget Wills', 'Pantelis Georgiou', 'Alison Holmes', 'Sophie Yacoub']",2022,https://doi.org/10.1371/journal.pdig.0000005,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0010,Vital sign monitoring using wearable devices in a Vietnamese intensive care unit,"['Hoang Minh Tu Van', 'Nguyễn Văn Hảo', 'Phan Nguyen Quoc Khanh', 'Ho Bich Hai', 'Le Dinh Van Khoa', 'Lam Minh Yen', 'Phung Tran Huy Nhat', 'Ha Thi Hai Duong', 'Duong Bich Thuy', 'Tingting Zhu', 'Heloise Greeff', 'David A. Clifton', 'Louise Thwaites']",2021,https://doi.org/10.1136/bmjinnov-2021-000707,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0011,Moderating the AI Revolution: Perceived threat and generative AI implementation in Vietnamese hospitals,"['Ta Thi Nguỵet Trang', 'Phạm Chiến Thắng', 'Vo Minh Tuan']",2025,https://doi.org/10.1016/j.chbr.2025.100774,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0012,Sepsis Mortality Prediction Using Wearable Monitoring in Low–Middle Income Countries,"['Shadi Ghiasi', 'Tingting Zhu', 'Ping Lü', 'Jannis Hagenah', 'Phan Nguyen Quoc Khanh', 'Nguyễn Văn Hảo', 'Louise Thwaites', 'David A. Clifton']",2022,https://doi.org/10.3390/s22103866,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0013,"Reimagining ethnopharmacology with generative AI: Towards inclusive, ethical, and data-driven traditional medicine","['Santanu Bhadra', 'Charu Pundir', 'Maria Mukherjee', 'Amit Kar', 'Subhadip Banerjee', 'Rawiwan Charoensup', 'Thidarat Duangyod', 'Pulok K. Mukherjee']",2025,https://doi.org/10.1016/j.phrs.2025.108002,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0014,"Artificial intelligence ethics in authoritarian Vietnam: governance, trust, and societal tensions","['Huong T. Tran', 'Bac H. Dang', 'Mai Thanh Thi Nguyen', 'Quynh T. T. Pham', 'Phuoc Van Nguyen']",2025,https://doi.org/10.1080/25741292.2025.2529625,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0017,Development and Asian-wide validation of the Grade for Interpretable Field Triage (GIFT) for predicting mortality in pre-hospital patients using the Pan-Asian Trauma Outcomes Study (PATOS),"['Jae Yong Yu', 'Sejin Heo', 'Feng Xie', 'Nan Liu', 'Sun Yung Yoon', 'Han Sol Chang', 'Taerim Kim', 'Se Uk Lee', 'Marcus Eng Hock Ong', 'Yih Yng Ng', 'Sang Do Shin', 'Kentaro Kajino', 'Won Chul']",2023,https://doi.org/10.1016/j.lanwpc.2023.100733,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0018,Towards a machine-learning assisted non-invasive classification of dengue severity using wearable PPG data: a prospective clinical study,"['Stefan Karolcik', 'Vasileos Manginas', 'Ho Quang Chanh', 'John Daniels', 'Nguyen Thi Giang', 'Vu Ngo Thanh Huyen', 'Minh Tu Van Hoang', 'Phan Nguyen Quoc Khanh', 'Bernard Hernandez', 'Damien Ming', 'Hao Nguyen Van', 'Tu Qui Phan', 'Huynh Trung Trieu', 'Tai Luong Thi Hue', 'Alison Holmes', 'Louise Thwaites', 'Tho Phan Vinh', 'Sophie Yacoub', 'Pantelis Georgiou']",2024,https://doi.org/10.1016/j.ebiom.2024.105164,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0020,Securing Collaborative Medical AI by Using Differential Privacy: Domain Transfer for Classification of Chest Radiographs,"['Soroosh Tayebi Arasteh', 'Mahshad Lotfinia', 'Teresa Nolte', 'Marwin-Jonathan Sähn', 'Peter Isfort', 'Christiane Kühl', 'Sven Nebelung', 'Georgios Kaissis', 'Daniel Truhn']",2023,https://doi.org/10.1148/ryai.230212,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0021,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries: Quantitative Pilot Feasibility Study,"['Andy Li', 'Wei Zhou', 'Rashina Hoda', 'Chris Bain', 'Peter Poon']",2026,https://doi.org/10.2196/85169,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0022,What Are the Opportunities and Challenges of Using AI in Medical Education in Vietnam?,"['Trung Anh Nguyen', 'Thanh Binh Nguyen', 'Duy Cuong Nguyen', 'Anh Dung Vu', 'Khanh Linh Dang', 'Nhu Quynh Le', 'Duy Anh Ngo', 'Dang Kien Nguyen', 'Van Thuan Hoang', 'Thanh Binh Ngo']",2025,https://doi.org/10.2196/77817,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0023,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions,"['M Martos Martos', 'Blanca Fields', 'Samuel G. Finlayson', 'Nigel Hartell', 'Theresa Y. Kim', 'Emily L. Larimer', 'Jason J. Lau', 'Yu-Hsiang Lin', 'Taylor Salaguinto', 'Nguyen Tran-Ngoc', 'K. Casey Lion']",2025,https://doi.org/10.1001/jamanetworkopen.2025.32312,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0026,Humanizing pulmonary care in the era of acoustic artificial intelligence: toward global health equity,"['Bilal Irfan', 'Habeebah Muhammad-Kamal', 'Allison Newsome', 'Roberto Daniel Sirvent']",2025,https://doi.org/10.3389/fmed.2025.1666820,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0031,Insights Into the Current and Future State of AI Adoption Within Health Systems in Southeast Asia: Cross-Sectional Qualitative Study,"['Mochammad Fadjar Wibowo', 'Alexandra Pyle', 'E. F. H. Lim', 'Joshua W. Ohde', 'Nan Liu', 'Jonas Karlström']",2025,https://doi.org/10.2196/71591,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0032,Understanding and predicting ciprofloxacin minimum inhibitory concentration in <i>Escherichia coli</i> with machine learning,"['Bálint Pataki', 'Sébastien Matamoros', 'Boas C.L. van der Putten', 'Daniel Remondini', 'Enrico Giampieri', 'Derya Aytan-Aktug', 'COMPARE ML-AMR group', 'René S. Hendriksen', 'Ole Lund', 'István Csabai', 'Constance Schultsz']",2019,https://doi.org/10.1101/806760,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0036,Sentiment Reasoning for Healthcare,"['Khai-Nguyen Nguyen', 'Khai Le-Duc', 'Bach Phan Tat', 'Duy Hoang Le', 'Long Vo-Dang', 'Truong-Son Hy']",2024,https://doi.org/10.48550/arxiv.2407.21054,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0037,"Ecological epidemiology insights into clonorchiosis endemicity in Guangxi, China and Vietnam: a comprehensive machine learning analysis","['Jinxin Zheng', 'Huihui Zhu', 'Shang Xia', 'Men‐Bao Qian', 'Robert Bergquist', 'Hung Manh Nguyen', 'Xiao‐Nong Zhou']",2025,https://doi.org/10.1186/s12942-025-00404-y,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0038,Artificial Intelligence-assisted Translation and Interpretation for Communication With Patients Who Have Language Barriers: A Systematic Review,"['Inna Strechen', 'Arjun Gupta', 'Sema Karakuş', 'Christine Chen', 'Keivan Nalaie', 'L. Hassett', 'Amelia Barwise']",2025,https://doi.org/10.1164/ajrccm.2025.211.abstracts.a3643,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
REC_DIR_0039,How Healthqual drives willingness to pay a premium and revisit intention in health-care sector: the moderation role of AI-enabled service,"['Thanh Tiep Le', 'Thoi Le Quan Chau', 'Ngan Nguyen Dang Kim']",2026,https://doi.org/10.1108/ijqss-09-2025-0225,,,,,,,,,,,,,,,,,,,,PENDING_EXTRACTION,,DAO_TRUNG_THANH_PI,,,,,,,,,,,,,,,,,,,,,
