"record_id","discovery_channel","query_id","title","year","doi_or_url","publication_status","country_scope","topic_scope","screened_field","decision","exclusion_reason","notes","screened_on"
"OA-FS2-001","OpenAlex focused title-abstract scan","FS2","Navigating ASEAN region Artificial Intelligence (AI) governance readiness in healthcare","2025","10.1016/j.hlpt.2025.100981","published article","ASEAN including Vietnam","healthcare AI governance readiness and policy","title+abstract+full text","INCLUDE_COMPARATOR","","FS2 rank 1; regional country comparison and direct Vietnam context","2026-07-31"
"OA-FS2-002","OpenAlex focused title-abstract scan","FS2","The US National Academy of Medicine","2023","10.1097/PHM.0000000000002234","published article","United States","institutional profile","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 2; query terms occur outside a governance review question","2026-07-31"
"OA-FS2-003","OpenAlex focused title-abstract scan","FS2","Comprehensive Overview of Artificial Intelligence Applications in Biomedical Research and Precision Medicine (2024–2026)","2026","10.5281/zenodo.19372022","published repository item","global","AI applications in biomedical research and precision medicine","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","application-only","FS2 rank 3; retained manifestation after title deduplication","2026-07-31"
"OA-FS2-004","OpenAlex focused title-abstract scan","FS2","Comprehensive Overview of Artificial Intelligence Applications in Biomedical Research and Precision Medicine (2024–2026)","2026","10.5281/zenodo.19372021","published repository item","global","AI applications in biomedical research and precision medicine","title+OpenAlex metadata","DUPLICATE","duplicate","FS2 rank 4; duplicate version of OA-FS2-003 by normalized title","2026-07-31"
"OA-FS2-005","OpenAlex focused title-abstract scan","FS2","Harnessing artificial intelligence for dengue forecasting in climate-vulnerable regions: A narrative review with insights from Ba Ria–Vung Tau, Vietnam","2025","10.1016/j.actatropica.2025.107909","published review","Vietnam and climate-vulnerable regions","AI dengue forecasting","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","application-only","FS2 rank 5; clinical/public-health application rather than governance corpus","2026-07-31"
"OA-FS2-006","OpenAlex focused title-abstract scan","FS2","LEGAL CHALLENGES IN THE ERA OF ARTIFICIAL INTELLIGENCE REGARDING PATIENTS' RIGHTS: LESSON FOR VIETNAMESE MEDICAL STUDENTS","2026","10.5281/zenodo.20007942","published repository item","Vietnam","patient rights and medical education","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","not review","FS2 rank 6; potentially relevant main-corpus source but not a comparator review","2026-07-31"
"OA-FS2-007","OpenAlex focused title-abstract scan","FS2","LEGAL CHALLENGES IN THE ERA OF ARTIFICIAL INTELLIGENCE REGARDING PATIENTS' RIGHTS: LESSON FOR VIETNAMESE MEDICAL STUDENTS","2026","10.5281/zenodo.20007941","published repository item","Vietnam","patient rights and medical education","title+OpenAlex metadata","DUPLICATE","duplicate","FS2 rank 7; duplicate version of OA-FS2-006 by normalized title","2026-07-31"
"OA-FS2-008","OpenAlex focused title-abstract scan","FS2","The United Nations Sustainable Development Goals","2020","10.1093/biosci/biz155","published article","global","sustainable development goals","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 8","2026-07-31"
"OA-FS2-009","OpenAlex focused title-abstract scan","FS2","The Impact Of Digital Diplomacy On International Politics In The Early Decades Of The 21st Century And Its Implications For Vietnam","2025","10.56734/ijahss.v6n5a6","published article","Vietnam and international","digital diplomacy","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 9","2026-07-31"
"OA-FS2-010","OpenAlex focused title-abstract scan","FS2","From COVID-19 to Nipah virus preparedness in low- and middle-income countries: Re-centering points of decision and responsible AI","2026","10.4103/apjtm.apjtm_118_26","published article","low- and middle-income countries","outbreak preparedness and responsible AI","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS2 rank 10; no Vietnam national governance synthesis","2026-07-31"
"OA-FS2-011","OpenAlex focused title-abstract scan","FS2","IAB 16th World Congress","2023","10.1111/bioe.13252","published congress material","global","bioethics congress","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","not review","FS2 rank 11","2026-07-31"
"OA-FS2-012","OpenAlex focused title-abstract scan","FS2","AI for Sustainable Development in Middle-Income Southeast Asia","2026","10.4324/9781003715689-3","book chapter","Southeast Asia","AI and sustainable development","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","no governance","FS2 rank 12; not focused on healthcare governance","2026-07-31"
"OA-FS2-013","OpenAlex focused title-abstract scan","FS2","Towards regional progress: APSR 2022 Big Five Lung Diseases Workshop","2023","10.1111/resp.14548","published article","Asia-Pacific","lung diseases workshop","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 13","2026-07-31"
"OA-FS2-014","OpenAlex focused title-abstract scan","FS2","Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification","2026","10.48550/arXiv.2606.04037","preprint","global","enterprise AI agent assurance","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 14; not healthcare national governance","2026-07-31"
"OA-FS2-015","OpenAlex focused title-abstract scan","FS2","Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification","2026","https://openalex.org/W7163777289","preprint","global","enterprise AI agent assurance","title+OpenAlex metadata","DUPLICATE","duplicate","FS2 rank 15; duplicate of OA-FS2-014 by normalized title","2026-07-31"
"OA-FS2-016","OpenAlex focused title-abstract scan","FS2","Trustworthy RF/Microwave Biomedical AI: Information Fusion and Evaluation Design for Clinical Translation","2026","10.5281/zenodo.19990364","dataset","global","biomedical AI evaluation design","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","not review","FS2 rank 16; retained dataset manifestation after deduplication","2026-07-31"
"OA-FS2-017","OpenAlex focused title-abstract scan","FS2","Trustworthy RF/Microwave Biomedical AI: Information Fusion and Evaluation Design for Clinical Translation","2026","10.5281/zenodo.19990844","dataset","global","biomedical AI evaluation design","title+OpenAlex metadata","DUPLICATE","duplicate","FS2 rank 17; duplicate version of OA-FS2-016","2026-07-31"
"OA-FS2-018","OpenAlex focused title-abstract scan","FS2","Editorial","2026","10.1108/JEDT-09-2026-758","editorial","not stated","editorial","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","not review","FS2 rank 18","2026-07-31"
"OA-FS2-019","OpenAlex focused title-abstract scan","FS2","Data privacy laws in Central Asia: between ex-SSR and ‘Belt & Road’","2025","10.1093/idpl/ipaf001","published article","Central Asia","data privacy law","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS2 rank 19; not healthcare Vietnam","2026-07-31"
"OA-FS2-020","OpenAlex focused title-abstract scan","FS2","Index","2022","10.1108/978-1-80117-139-7_2021_1014","paratext","not applicable","book index","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 20; generic title retained because DOI differs","2026-07-31"
"OA-FS2-021","OpenAlex focused title-abstract scan","FS2","Trustworthy RF/Microwave Biomedical AI: Information Fusion and Evaluation Design for Clinical Translation","2026","10.5281/zenodo.19990363","dataset","global","biomedical AI evaluation design","title+OpenAlex metadata","DUPLICATE","duplicate","FS2 rank 21; duplicate version of OA-FS2-016","2026-07-31"
