record_id,title,year,source_channels,primary_manifestation_id,locator,retrieval_status,sha256_hash,retrieval_date
CANON-00001,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,2026,LEGAL_OFFICIAL_PORTAL,LEGAL:05/2026/TT-BKHCN,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00002,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,2026,PR07_PUBLIC_SOURCE,PR07:MANIF-MINISTRY-01,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_LOCAL_RAW_CAPTURE,N/A,2026-08-02
CANON-00003,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",2026,PR07_PUBLIC_SOURCE,PR07:MANIF-SENTINEL-02,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_LOCAL_RAW_CAPTURE,N/A,2026-08-02
CANON-00004,Luật Trí tuệ nhân tạo,2025,LEGAL_OFFICIAL_PORTAL,LEGAL:134/2025/QH15,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00005,Nghị định 55/2025/NĐ-CP quy định chi tiết về quản lý và vận hành hệ thống thông tin y tế số,2025,LEGAL_OFFICIAL_PORTAL,LEGAL:55/2025/NĐ-CP,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00006,Quy định chi tiết một số điều và biện pháp thi hành Luật Trí tuệ nhân tạo,2026,LEGAL_OFFICIAL_PORTAL,LEGAL:142/2026/NĐ-CP,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00007,Tìm hiểu ứng dụng trí tuệ nhân tạo trong y tế,2026,PR07_PUBLIC_SOURCE,PR07:MANIF-SENTINEL-03,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_LOCAL_RAW_CAPTURE,N/A,2026-08-02
CANON-00008,Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số,2026,PR07_PUBLIC_SOURCE,PR07:MANIF-MINISTRY-02,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_LOCAL_RAW_CAPTURE,N/A,2026-08-02
CANON-00009,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,2026,PR07_PUBLIC_SOURCE,PR07:MANIF-SENTINEL-05,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_LOCAL_RAW_CAPTURE,N/A,2026-08-02
CANON-00010,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,2026,PR07_PUBLIC_SOURCE,PR07:MANIF-SENTINEL-04,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_LOCAL_RAW_CAPTURE,N/A,2026-08-02
CANON-00011,"Internet of Things (IoT), Artificial Intelligence (AI) Applications for Various Sectors in Emerging Markets - and Risk Management Information System (RMIS) Issues",2021,OPENALEX,OPENALEX:W3174173373,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00014,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,2026,OPENALEX,OPENALEX:W7128555477,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00018,Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification,2026,OPENALEX,OPENALEX:W7163777289,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00019,A Comparison of Machine Learning Methods for Alzheimer's Disease Classification in Vietnamese Patients,2025,OPENALEX,OPENALEX:W7165285162,https://pubmed.ncbi.nlm.nih.gov/NOT_APPLICABLE/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00020,The Impact of Cultural Dimensions of Clinicians on the Adoption of Artificial Intelligence in Healthcare.,2022,OPENALEX | PUBMED,PMID:35062809,https://pubmed.ncbi.nlm.nih.gov/35062809/,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00028,Patient Classification Based on Symptoms Using Machine Learning Algorithms Supporting Hospital Admission,2021,OPENALEX,OPENALEX:W4205979214,https://doi.org/10.1007/978-3-030-92942-8_4,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00038,"Applications of Statistic Softwares, IT and Artificial Intelligence—A Research Case on ByPass Behavior of Patients at Vietnam Hospitals",2022,OPENALEX,OPENALEX:W4226367125,https://doi.org/10.1007/978-981-16-9756-2_18,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00039,Predictive Modelling of Diseases Based on a Network and Machine Learning Approach,2022,OPENALEX,OPENALEX:W4312581401,https://doi.org/10.1007/978-981-19-8234-7_50,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00040,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,2026,OPENALEX,OPENALEX:W7164387246,https://doi.org/10.1007/978-981-92-0071-9_22,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00041,Identifying Distress in Vietnamese Narratives: Dataset Construction and Model Benchmarking,2026,OPENALEX,OPENALEX:W7164428448,https://doi.org/10.1007/978-981-92-0071-9_36,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00042,Graph Retrieval-Augmented Language Model for Question Answering of Vietnamese Law,2026,OPENALEX,OPENALEX:W7168423530,https://doi.org/10.1007/978-981-92-2885-0_22,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00044,Applying Ensemble Machine Learning Model to Explain the Causes of Stroke,2025,OPENALEX,OPENALEX:W4416508169,https://doi.org/10.1007/978-981-95-4963-4_14,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00045,Intelligent Post-operative Room Systems: A Cost-Effective Design for Enhanced Patient Care in Resource-Limited Settings,2025,OPENALEX,OPENALEX:W4416279159,https://doi.org/10.1007/978-981-96-6250-0_5,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00048,Teaching the machine to heal in Vietnam,2025,OPENALEX,OPENALEX:W7117488622,https://doi.org/10.1007/s00146-025-02794-w,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00052,Machine Learning-Assisted Autism Risk Stratification in Toddlers Using the Vietnamese M-CHAT-R and Perinatal Predictors: A Cross-Sectional Study in Vietnam.,2026,OPENALEX | PUBMED,PMID:41575711,https://doi.org/10.1007/s10803-026-07227-1,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00057,"AI-Driven Climate-Health Forecasting: A Machine Learning Model for Epidemic Risk Prediction in Ba Ria-Vung Tau, Vietnam",2025,OPENALEX,OPENALEX:W4416105290,https://doi.org/10.1007/s41748-025-00906-6,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00059,Ethics meets innovation: Navigating public health and sustainable agriculture in the battle against AMR,2026,OPENALEX,OPENALEX:W7166089943,https://doi.org/10.1016/b978-0-443-27781-8.00021-x,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
CANON-00061,"Harnessing artificial intelligence for dengue forecasting in climate-vulnerable regions: A narrative review with insights from Ba Ria-Vung Tau, Vietnam.",2025,OPENALEX | PUBMED,PMID:41232742,https://doi.org/10.1016/j.actatropica.2025.107909,RETRIEVED_ONLINE_LOCATOR,N/A,2026-08-02
