record_id,source_type,dao_trung_thanh_decision,loc_dang_decision,agreement_status,next_workflow_status,adjudication_status,dao_file_sha256,loc_file_sha256,adjudicated_decision,adjudication_reason,adjudicator
CANON-00001,LEGAL_REGULATION,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00002,OFFICIAL_REPORT,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00003,OFFICIAL_REPORT,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00004,LEGAL_REGULATION,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00005,LEGAL_REGULATION,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00006,LEGAL_REGULATION,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00007,OFFICIAL_REPORT,UNCERTAIN,UNCERTAIN,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00008,OFFICIAL_REPORT,UNCERTAIN,UNCERTAIN,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00009,OFFICIAL_REPORT,UNCERTAIN,UNCERTAIN,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00010,OFFICIAL_REPORT,UNCERTAIN,UNCERTAIN,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
