record_id,stage,reviewer,source_type,inclusion_decision,exclusion_reason,notes,date
CANON-00001,TITLE_ABSTRACT,DAO_TRUNG_THANH,LEGAL_REGULATION,,,Title: Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia | Source: LEGAL_OFFICIAL_PORTAL,
CANON-00002,TITLE_ABSTRACT,DAO_TRUNG_THANH,OFFICIAL_REPORT,,,Title: Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ... | Source: PR07_PUBLIC_SOURCE,
CANON-00003,TITLE_ABSTRACT,DAO_TRUNG_THANH,OFFICIAL_REPORT,,,"Title: Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ... | Source: PR07_PUBLIC_SOURCE",
CANON-00004,TITLE_ABSTRACT,DAO_TRUNG_THANH,LEGAL_REGULATION,,,Title: Luật Trí tuệ nhân tạo | Source: LEGAL_OFFICIAL_PORTAL,
CANON-00005,TITLE_ABSTRACT,DAO_TRUNG_THANH,LEGAL_REGULATION,,,Title: Nghị định 55/2025/NĐ-CP quy định chi tiết về quản lý và vận hành hệ thống thông tin y tế số | Source: LEGAL_OFFICIAL_PORTAL,
CANON-00006,TITLE_ABSTRACT,DAO_TRUNG_THANH,LEGAL_REGULATION,,,Title: Quy định chi tiết một số điều và biện pháp thi hành Luật Trí tuệ nhân tạo | Source: LEGAL_OFFICIAL_PORTAL,
CANON-00007,TITLE_ABSTRACT,DAO_TRUNG_THANH,OFFICIAL_REPORT,,,Title: Tìm hiểu ứng dụng trí tuệ nhân tạo trong y tế | Source: PR07_PUBLIC_SOURCE,
CANON-00008,TITLE_ABSTRACT,DAO_TRUNG_THANH,OFFICIAL_REPORT,,,Title: Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số | Source: PR07_PUBLIC_SOURCE,
CANON-00009,TITLE_ABSTRACT,DAO_TRUNG_THANH,OFFICIAL_REPORT,,,Title: Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ... | Source: PR07_PUBLIC_SOURCE,
CANON-00010,TITLE_ABSTRACT,DAO_TRUNG_THANH,OFFICIAL_REPORT,,,Title: Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ... | Source: PR07_PUBLIC_SOURCE,
CANON-00011,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,"Title: Internet of Things (IoT), Artificial Intelligence (AI) Applications for Various Sectors in Emerging Markets - and Risk Management Information System (RMIS) Issues | Source: OPENALEX",
CANON-00012,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: A New Hope in the Fight Against Antimicrobial Resistance with Artificial Intelligence | Source: OPENALEX,
CANON-00013,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: A Hybrid Architecture for Multi-Stage Claim Document Understanding: Combining Vision-Language Models and Machine Learning for Real-Time Processing | Source: OPENALEX,
CANON-00014,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations | Source: OPENALEX,
CANON-00015,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: PSF-Med: Measuring and Explaining Paraphrase Sensitivity in Medical Vision Language Models | Source: OPENALEX,
CANON-00016,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: IP Frameworks and Innovation in the Agricultural Sector in Southeast Asia - A Legal Perspective | Source: OPENALEX,
CANON-00017,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Predictive modeling of direct medical costs among frail older adults with diabetes mellitus in a rural outpatient setting | Source: OPENALEX,
CANON-00018,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification | Source: OPENALEX,
CANON-00019,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: A Comparison of Machine Learning Methods for Alzheimer's Disease Classification in Vietnamese Patients | Source: OPENALEX,
CANON-00020,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: The Impact of Cultural Dimensions of Clinicians on the Adoption of Artificial Intelligence in Healthcare. | Source: OPENALEX | PUBMED,
CANON-00021,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions. | Source: OPENALEX | PUBMED,
CANON-00022,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Perspectives on year 1 of <i>Alzheimer's &amp; Dementia: Behavior and Socioeconomics of Aging (BSEA)</i> | Source: OPENALEX,
CANON-00023,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: PROTOCOL: Megamap of systematic reviews and evidence and gap maps on the effectiveness of interventions to improve child well‐being in low‐ and middle‐income countries | Source: OPENALEX,
CANON-00024,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: A simple nomogram to predict dengue shock syndrome: A study of 4522 south east Asian children. | Source: OPENALEX | PUBMED,
CANON-00025,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: 2020 Global Pediatric Pulmonology Alliance (GPPA) Forum on COVID‐19 | Source: OPENALEX,
CANON-00026,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: A New Face of <i>Respirology</i> : Keeping Up With the Rich Tradition While Embracing New Developments | Source: OPENALEX,
CANON-00027,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Research activities at Hanoi National University of Education ‐ 70 years of development | Source: OPENALEX,
CANON-00028,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Patient Classification Based on Symptoms Using Machine Learning Algorithms Supporting Hospital Admission | Source: OPENALEX,
CANON-00029,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Selection of Optimal Mathematical Models for Simulating and Forecasting Vertical Movements | Source: OPENALEX,
CANON-00030,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: DIKO: A Two-Stage Hybrid Network for Knee Osteoarthritis Diagnosis Using Deep Learning | Source: OPENALEX,
CANON-00031,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Investigating Air Pollution Dynamics in Ho Chi Minh City: A Spatiotemporal Study Leveraging XAI-SHAP Clustering Methodology | Source: OPENALEX,
CANON-00032,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,"Title: Structural Health Monitoring, Real Applications of Bridges in Vietnam | Source: OPENALEX",
CANON-00033,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Towards ADHD Identification in Children Through Eye Tracker Data Analysis | Source: OPENALEX,
CANON-00034,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Enhancing Health Insurance for Farmers in Vietnam’s Mekong Delta: Influential Factors and Policy Directions | Source: OPENALEX,
CANON-00035,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Towards Interpretable Martial Arts Training: A Lightweight Attention-Based Approach for Vovinam Action Recognition | Source: OPENALEX,
CANON-00036,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Covid-19 Face Mask Prediction Using Machine Learning Techniques | Source: OPENALEX,
CANON-00037,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,"Title: Technology Devices in Sport Education, Technology Applications with Wearable Sensor and Accelerometer in Physical Exercises—And Ho Chi Minh and Lenin Ideologies on Physical Exercise for the Youth | Source: OPENALEX",
CANON-00038,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,"Title: Applications of Statistic Softwares, IT and Artificial Intelligence—A Research Case on ByPass Behavior of Patients at Vietnam Hospitals | Source: OPENALEX",
CANON-00039,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Predictive Modelling of Diseases Based on a Network and Machine Learning Approach | Source: OPENALEX,
CANON-00040,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations | Source: OPENALEX,
CANON-00041,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Identifying Distress in Vietnamese Narratives: Dataset Construction and Model Benchmarking | Source: OPENALEX,
CANON-00042,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Graph Retrieval-Augmented Language Model for Question Answering of Vietnamese Law | Source: OPENALEX,
CANON-00043,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: NEM: A Numerical Exact Match Subtype-Aware Metric Family for eXplainable Numerical Accuracy in Specialized Chatbots | Source: OPENALEX,
CANON-00044,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Applying Ensemble Machine Learning Model to Explain the Causes of Stroke | Source: OPENALEX,
CANON-00045,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Intelligent Post-operative Room Systems: A Cost-Effective Design for Enhanced Patient Care in Resource-Limited Settings | Source: OPENALEX,
CANON-00046,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Social Pharmacy | Source: OPENALEX,
CANON-00047,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: A Comparative Analysis of Machine Learning Algorithms to Predict Dengue Shock Syndrome | Source: OPENALEX,
CANON-00048,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Teaching the machine to heal in Vietnam | Source: OPENALEX,
CANON-00049,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Integrating google trends and hybrid statistical-machine learning models for dengue surveillance in an inland vietnamese province: a 94-month evaluation (2013-2021) with search-signal anomaly screening. | Source: OPENALEX | PUBMED,
CANON-00050,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,"Title: Assessment of climate change impacts on arsenic contamination in groundwater through machine learning, remote sensing, and GIS: a review. | Source: OPENALEX | PUBMED",
CANON-00051,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Mapping of high-resolution daily particulate matter (PM(2.5)) concentration at the city level through a machine learning-based downscaling approach. | Source: OPENALEX | PUBMED,
CANON-00052,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Machine Learning-Assisted Autism Risk Stratification in Toddlers Using the Vietnamese M-CHAT-R and Perinatal Predictors: A Cross-Sectional Study in Vietnam. | Source: OPENALEX | PUBMED,
CANON-00053,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Predicting Hypertension Based on Machine Learning Methods: A Case Study in Northwest Vietnam | Source: OPENALEX,
CANON-00054,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Assessing flood susceptibility in Hanoi using machine learning and remote sensing: implications for urban health and resilience | Source: OPENALEX,
CANON-00055,TITLE_ABSTRACT,DAO_TRUNG_THANH,ACADEMIC_STUDY,,,Title: Inland harmful cyanobacterial bloom prediction in the eutrophic Tri An Reservoir using satellite band ratio and machine learning approaches. | Source: PUBMED,
