record_id,title,disagreement_type,dao_trung_thanh_decision,dao_trung_thanh_reason,loc_dang_decision,loc_dang_reason,pi_decision,pi_exclusion_reason,pi_notes,pi_date
CANON-00002,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX05_WRONG_SOURCE_TYPE,EXCLUDE,EX05_WRONG_SOURCE_TYPE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00003,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX05_WRONG_SOURCE_TYPE,EXCLUDE,EX05_WRONG_SOURCE_TYPE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00009,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX05_WRONG_SOURCE_TYPE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00010,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX05_WRONG_SOURCE_TYPE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00011,"Internet of Things (IoT), Artificial Intelligence (AI) Applications for Various Sectors in Emerging Markets - and Risk Management Information System (RMIS) Issues",DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX02_NOT_HEALTHCARE,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX02_NOT_HEALTHCARE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00014,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00018,Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX02_NOT_HEALTHCARE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00020,The Impact of Cultural Dimensions of Clinicians on the Adoption of Artificial Intelligence in Healthcare.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00039,Predictive Modelling of Diseases Based on a Network and Machine Learning Approach,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00040,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
