record_id,round2_final_decision
CANON-00001,INCLUDE
CANON-00004,INCLUDE
CANON-00005,INCLUDE
CANON-00006,INCLUDE
CANON-00048,INCLUDE
CANON-00068,INCLUDE
CANON-00077,INCLUDE
CANON-00098,INCLUDE
CANON-00101,INCLUDE
CANON-00105,INCLUDE
CANON-00152,INCLUDE
CANON-00166,INCLUDE
CANON-00171,INCLUDE
CANON-00176,INCLUDE
CANON-00180,INCLUDE
CANON-00181,INCLUDE
CANON-00183,INCLUDE
CANON-00185,INCLUDE
CANON-00188,INCLUDE
CANON-00191,INCLUDE
CANON-00196,INCLUDE
CANON-00198,INCLUDE
CANON-00209,INCLUDE
CANON-00210,INCLUDE
CANON-00217,INCLUDE
CANON-00230,INCLUDE
CANON-00232,INCLUDE
CANON-00234,INCLUDE
CANON-00235,INCLUDE
CANON-00236,INCLUDE
CANON-00238,INCLUDE
CANON-00243,INCLUDE
CANON-00247,INCLUDE
CANON-00249,INCLUDE
CANON-00250,INCLUDE
CANON-00251,INCLUDE
CANON-00254,INCLUDE
CANON-00260,INCLUDE
CANON-00262,INCLUDE
CANON-00266,INCLUDE
CANON-00281,INCLUDE
CANON-00283,INCLUDE
CANON-00290,INCLUDE
CANON-00299,INCLUDE
CANON-00303,INCLUDE
CANON-00319,INCLUDE
CANON-00335,INCLUDE
CANON-00359,INCLUDE
CANON-00370,INCLUDE
CANON-00374,INCLUDE
