"record_id","stage","reviewer","inclusion_decision","exclusion_reason","notes","date"
"CANON-00001","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Khung đạo đức AI quốc gia quy định quản trị và đạo đức AI tại Việt Nam.","2026-08-02"
"CANON-00002","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Báo cáo chính thức Bộ Y tế về quản trị nhân lực và trách nhiệm trong AI y tế.","2026-08-02"
"CANON-00003","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Báo cáo hội thảo y tế về định hướng quản trị và an toàn dữ liệu AI khám chữa bệnh.","2026-08-02"
"CANON-00004","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Luật Trí tuệ nhân tạo quy định khung pháp lý và quản trị AI rủi ro cao tại Việt Nam.","2026-08-02"
"CANON-00005","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghị định về quản trị dữ liệu y tế số và điều kiện vận hành AI y tế tại Việt Nam.","2026-08-02"
"CANON-00006","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghị định quy định chi tiết thi hành Luật AI và quản lý rủi ro AI y tế tại Việt Nam.","2026-08-02"
"CANON-00007","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX05_WRONG_SOURCE_TYPE","Bài tin tức phổ biến kiến thức đại chúng sai loại nguồn nghiên cứu và không có nội dung quản trị.","2026-08-02"
"CANON-00008","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX05_WRONG_SOURCE_TYPE","Tin thông báo tập huấn kỹ thuật nghiệp vụ địa phương không phải văn bản quản trị hay nghiên cứu AI y tế.","2026-08-02"
"CANON-00009","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Bài truyền thông điểm tin công nghệ chẩn đoán hình ảnh ung thư thuần kỹ thuật lâm sàng không có nội dung quản trị.","2026-08-02"
"CANON-00010","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Bài đưa tin thành tựu ứng dụng CNTT AI tại bệnh viện thuần tổng kết hiệu quả không có hợp phần quản trị hay đạo đức.","2026-08-02"
"CANON-00011","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX02_NOT_HEALTHCARE","Bài nghiên cứu tổng quát hệ thống quản lý rủi ro thông tin đa ngành không thuộc bối cảnh quản trị y tế chuyên biệt.","2026-08-02"
"CANON-00014","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu phát triển hệ thống AI LLM truy xuất và giải đáp văn bản quy phạm pháp luật y tế Việt Nam ViHERMES.","2026-08-02"
"CANON-00018","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu khung chứng nhận tin cậy và đánh giá tuân thủ pháp lý Luật AI cho AI Agent trong y tế tại Việt Nam.","2026-08-02"
"CANON-00019","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình học máy chẩn đoán Alzheimer trên bệnh nhân VN thuần hiệu năng kỹ thuật không có nội dung đạo đức hay quản trị.","2026-08-02"
"CANON-00020","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu thực nghiệm về sự chấp nhận niềm tin và rào cản văn hóa quản trị trong triển khai AI y tế tại Việt Nam.","2026-08-02"
"CANON-00028","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Thuật toán học máy phân loại triệu chứng tiếp đón bệnh nhân thuần thử nghiệm kỹ thuật không có quản trị hay đạo đức.","2026-08-02"
"CANON-00038","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Nghiên cứu hành vi quản lý bệnh viện và tâm lý bệnh nhân vượt tuyến không bàn về đạo đức hay quản trị AI.","2026-08-02"
